departure_date_time,arrival_date_time,is_self_transfer,flight_id,itinerary_id,origin_airport_id,destination_airport_id
2025-04-01 07:45:00,2025-04-01 10:17:00,True,1,it1,ap5,ap9
2025-04-01 11:20:00,2025-04-01 12:49:00,True,2,it1,ap9,ap7
2025-04-01 07:00:00,2025-04-01 07:59:00,True,3,it2,ap1,ap4
2025-04-01 06:15:00,2025-04-01 08:49:00,True,4,it3,ap5,ap9
2025-04-01 07:45:00,2025-04-01 10:17:00,True,5,it4,ap5,ap9
2025-04-01 11:20:00,2025-04-01 12:49:00,True,6,it4,ap9,ap7
2025-04-01 12:20:00,2025-04-01 14:40:00,True,7,it5,ap5,ap9
2025-04-01 13:24:00,2025-04-01 16:14:00,True,8,it6,ap5,ap7
2025-04-01 17:15:00,2025-04-01 20:10:00,True,9,it7,ap5,ap7
2025-04-01 06:45:00,2025-04-01 09:40:00,True,10,it8,ap5,ap7
2025-04-01 19:40:00,2025-04-01 22:14:00,True,11,it9,ap5,ap7
2025-04-01 14:00:00,2025-04-01 16:34:00,True,12,it10,ap5,ap7
2025-04-01 13:14:00,2025-04-01 14:09:00,True,13,it11,ap5,ap6
2025-04-01 15:02:00,2025-04-01 17:41:00,True,14,it11,ap6,ap7
2025-04-01 06:15:00,2025-04-01 07:30:00,True,15,it12,ap5,ap6
2025-04-01 08:05:00,2025-04-01 10:47:00,True,16,it12,ap6,ap7
2025-04-01 16:44:00,2025-04-01 17:44:00,True,17,it13,ap5,ap6
2025-04-01 18:45:00,2025-04-01 21:33:00,True,18,it13,ap6,ap7
2025-04-02 07:00:00,2025-04-02 07:59:00,True,3,it14,ap1,ap4
2025-04-02 21:15:00,2025-04-02 22:54:00,True,19,it15,ap9,ap7
2025-04-02 21:15:00,2025-04-02 22:54:00,True,19,it16,ap9,ap7
2025-04-02 06:15:00,2025-04-02 08:49:00,True,4,it17,ap5,ap9
2025-04-02 07:45:00,2025-04-02 10:17:00,True,5,it18,ap5,ap9
2025-04-02 11:20:00,2025-04-02 12:49:00,True,6,it18,ap9,ap7
